Paper_ID,Author_ID,Author_Name,Author_Position,Is_Corresponding,Institution_IDs,Institution_Names
W4319769514,A5101714277,Jiaping Wang,middle,False,None,None
W4319769514,A5047812239,Mingjie Zhu,middle,False,None,None
W4319769514,A5057864403,Jingren Zhou,middle,False,None,None
W4319769514,A5000596496,Kui Ren,middle,False,I168879160,Zhejiang University of Science and Technology
W4319769514,A5026311099,Xiaohu Yang,middle,False,I168879160,Zhejiang University of Science and Technology
W4319769514,A5101470275,Cewu Lu,middle,False,I183067930,Shanghai Jiao Tong University
W4319769514,A5062247330,Jian Pei,middle,False,I18014758,Simon Fraser University
W4319769514,A5113600813,Harry Shum,last,False,None,None
W4388068877,A5100733037,Juanjuan Li,first,True,I80143920|I4210112150|I19820366,Shandong University of Science and Technology|Institute of Automation|Chinese Academy of Sciences
W4388068877,A5100623231,Junqing Li,middle,False,I80143920|I19820366|I4210112150,Shandong University of Science and Technology|Chinese Academy of Sciences|Institute of Automation
W4388068877,A5112719601,Xiao Wang,middle,False,I4210112270|I143868143,Qingdao Academy of Intelligent Industries|Anhui University
W4388068877,A5001421911,Rui Qin,middle,False,I4210112150|I19820366,Institute of Automation|Chinese Academy of Sciences
W4388068877,A5110476655,Yong Yuan,middle,False,I78988378,Renmin University of China
W4388068877,A5113600509,Fei‐Yue Wang,last,False,I111950717|I19820366,Macau University of Science and Technology|Chinese Academy of Sciences
W4281293246,A5062754862,Rômy Bergman,first,True,I98358874,Delft University of Technology
W4281293246,A5064176949,Antragama Ewa Abbas,middle,False,I98358874,Delft University of Technology
W4281293246,A5028601468,Sven Jung,middle,False,I202963720,University of St.Gallen
W4281293246,A5024600924,Claudia Werker,middle,False,I98358874,Delft University of Technology
W4281293246,A5053800383,Mark de Reuver,last,False,I98358874,Delft University of Technology
W4322604225,A5075384062,Maryam Farboodi,first,True,I1321305853|I4210140326|I63966007,National Bureau of Economic Research|Centre for Economic Policy Research|Massachusetts Institute of Technology
W4322604225,A5001708196,Laura Veldkamp,last,False,I78577930|I4210140326|I1321305853,Columbia University|Centre for Economic Policy Research|National Bureau of Economic Research
